"","wac$w_geocode","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05"
"1343","53067012720",2302,749,1087,466,595,1147,560,98,0,0,46,30,12,109,29,0,16,6,12,0,6,376,46,825,675,12,4,2014,36,110,75,5,62,2130,172,185,515,534,319,982,1320,0,0,0,0,0,0,0,0,0,0
"1344","53067012730",530,138,275,117,133,205,192,196,0,6,77,2,38,31,13,0,1,12,20,0,25,0,48,0,49,12,0,483,16,6,10,6,9,452,78,63,124,145,60,338,192,0,0,0,0,0,0,0,0,0,0
"1345","53069950100",723,88,405,230,244,225,254,157,0,15,61,53,9,49,6,20,8,7,14,0,22,77,23,12,42,4,144,691,4,12,5,0,11,695,28,69,216,212,138,402,321,0,0,0,0,0,0,0,0,0,0
"1346","53071920000",5432,904,3069,1459,894,2934,1604,2453,0,43,91,1900,54,52,343,0,0,9,9,0,61,256,88,5,24,3,41,4607,252,100,329,24,120,3461,1971,1253,1255,1250,770,3614,1818,0,0,0,0,0,0,0,0,0,0
"1347","53071920100",1020,242,495,283,364,383,273,315,0,8,64,124,118,19,2,3,14,6,31,0,16,160,39,30,31,1,39,935,25,10,31,3,16,836,184,147,218,242,171,612,408,0,0,0,0,0,0,0,0,0,0
"1348","53071920200",1876,427,979,470,436,781,659,60,0,1,58,444,179,434,75,46,0,2,81,0,13,267,18,56,106,9,27,1767,27,16,39,4,23,1511,365,254,482,444,269,1091,785,0,0,0,0,0,0,0,0,0,0
"1349","53071920300",1269,259,628,382,384,491,394,12,1,0,58,26,9,224,7,0,32,20,13,0,18,373,324,1,76,26,49,1176,29,16,29,1,18,1051,218,156,281,345,228,588,681,0,0,0,0,0,0,0,0,0,0
"1350","53071920400",1048,105,708,235,22,258,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,989,18,6,15,2,18,914,134,86,293,374,190,773,275,0,0,0,0,0,0,0,0,0,0
"1351","53071920500",1301,306,668,327,334,576,391,35,0,10,107,135,89,133,12,3,139,38,41,0,39,0,148,25,271,76,0,1211,26,12,24,3,25,1029,272,193,310,311,181,685,616,0,0,0,0,0,0,0,0,0,0
"1352","53071920600",5307,1263,2745,1299,1175,1932,2200,6,0,0,114,535,90,602,92,180,86,76,103,0,119,6,2043,73,580,238,364,4973,92,62,88,10,82,4550,757,491,1115,1489,949,2380,2927,0,0,0,0,0,0,0,0,0,0
